,time,surface_sensible_heat_flux_sum,band,snowfall_sum,surface_thermal_radiation_downwards_sum,surface_solar_radiation_downwards_sum,total_precipitation_sum,surface_latent_heat_flux_sum,snow_depth,skin_temperature,surface_snow_amount,avg_volumetric_water_content,average_lake_temperature,temperature_2m
30,2021-06-16 00:00:00,28.779406,band_1,1.1455644e-05,320.63242,207.68579,3.8205784e-05,82.43542,0.0,282.88602,460.5439,38.434574,279.2274,282.4741
31,2021-06-16 00:00:00,27.21405,band_2,2.9577443e-06,317.55103,216.59499,3.608028e-05,85.67232,9.404816e-07,282.92484,0.0013331509,38.271057,278.20096,282.67773
32,2021-06-16 00:00:00,27.554838,band_3,1.9586246e-06,313.66553,230.95296,3.4193166e-05,89.84591,4.750428e-06,283.30087,0.0,36.64558,275.2815,283.0336
33,2021-06-16 00:00:00,36.736835,band_4,1.1707509e-06,317.36603,239.98863,3.382657e-05,91.50305,8.52113e-06,283.77475,2.3684286e-06,35.03769,278.75363,283.45752
34,2021-06-16 00:00:00,34.73392,band_5,2.0054954e-06,319.84937,263.31534,2.5782672e-05,74.697876,7.3555952e-06,282.1411,0.009615055,37.28264,271.9497,281.90723
35,2021-06-16 00:00:00,4.1735272,band_6,9.2210706e-07,312.0645,283.13098,7.624684e-06,1.5463331,0.009312244,273.91095,0.0,18.153465,271.62762,275.40622
36,2021-07-16 12:00:00,12.913125,band_1,6.4069063e-06,340.67886,164.90285,3.7950515e-05,47.344448,0.0,281.9751,93.3365,37.476124,281.93512,281.6732
37,2021-07-16 12:00:00,27.06534,band_2,1.5121777e-06,335.939,191.6428,3.4566547e-05,75.05552,0.0,282.16968,0.0,36.272697,280.93362,281.98358
38,2021-07-16 12:00:00,22.680964,band_3,2.064804e-07,334.9463,192.71155,3.2216118e-05,77.79846,2.6885584e-11,283.44592,0.0,35.437416,280.95953,283.2344
39,2021-07-16 12:00:00,28.327856,band_4,1.0988227e-06,331.61862,194.7921,3.243114e-05,77.85752,2.830913e-08,283.2968,2.7730837e-10,33.33483,281.47937,283.0287
40,2021-07-16 12:00:00,28.343212,band_5,1.7093736e-06,318.5195,195.3056,1.768657e-05,63.00818,4.773796e-07,281.96652,0.0,34.88286,278.6554,281.7307
41,2021-07-16 12:00:00,3.4154682,band_6,1.1729675e-06,308.53625,196.05458,3.9376473e-06,2.7821078,6.6865036e-06,274.76984,0.0,15.191212,274.98972,275.82
42,2021-08-16 12:00:00,13.610536,band_1,2.1303616e-05,338.05835,118.37838,5.5027493e-05,35.03761,0.0,280.24112,11.472107,40.679817,281.8928,280.05872
43,2021-08-16 12:00:00,11.823341,band_2,7.564129e-06,334.35608,132.2571,5.318896e-05,59.11307,0.0,280.17892,1.3269121e-07,38.76621,280.3741,279.6777
44,2021-08-16 12:00:00,5.610946,band_3,3.8098892e-06,328.405,113.30989,4.736949e-05,51.427727,0.0,280.07724,1.9566296e-07,37.58231,280.60776,279.6632
45,2021-08-16 12:00:00,10.943384,band_4,5.358927e-06,317.58844,114.54719,3.7289574e-05,47.8587,0.0,279.27258,5.7418238e-06,34.75029,280.63376,279.03928
46,2021-08-16 12:00:00,15.25009,band_5,9.289102e-06,310.2598,120.44011,2.7830689e-05,39.77691,0.0,278.26245,0.22324508,34.829056,279.25165,277.54904
47,2021-08-16 12:00:00,10.2739105,band_6,6.20063e-06,307.03964,118.85412,1.7295048e-05,17.387552,8.838499e-13,275.19614,0.001967975,19.502546,278.68542,274.91766
48,2021-09-16 00:00:00,10.975337,band_1,6.0819915e-05,304.74182,90.53538,7.0200826e-05,34.328075,0.0,277.77658,16.962866,40.18914,280.23178,276.36127
49,2021-09-16 00:00:00,13.27339,band_2,3.3835575e-05,301.932,89.13441,4.7306716e-05,35.891766,0.0,277.50098,3.1555212,41.099415,278.81342,275.91312
50,2021-09-16 00:00:00,15.73483,band_3,2.7285372e-05,299.5442,79.342964,3.918016e-05,32.057404,0.0,276.32117,4.988814,38.687817,279.21854,274.7332
51,2021-09-16 00:00:00,35.48203,band_4,2.6302389e-05,297.9108,66.45031,3.2956177e-05,47.168777,0.0,276.86734,6.6935315,36.6724,278.5354,274.05515
52,2021-09-16 00:00:00,57.03876,band_5,2.9114952e-05,295.44086,63.01323,3.4058237e-05,65.58056,0.0,276.8393,15.119191,38.288437,277.37503,272.9501
53,2021-09-16 00:00:00,52.13372,band_6,1.552319e-05,287.3184,56.68827,2.3974982e-05,50.139896,1.3699434e-07,274.37912,2.731037,25.202225,277.46625,272.5754
54,2021-10-16 12:00:00,19.903475,band_1,3.570858e-05,273.88562,61.702286,3.8486072e-05,39.195217,0.0,275.46826,82.679955,40.625923,276.75916,273.6031
55,2021-10-16 12:00:00,19.3997,band_2,2.1984924e-05,269.67078,54.048252,2.4754758e-05,35.55763,0.0,274.57172,11.099678,44.12229,276.4886,272.4663
56,2021-10-16 12:00:00,27.86124,band_3,2.0846937e-05,273.59634,42.21061,2.1985381e-05,33.695515,0.0,274.21274,18.109304,38.889572,276.0994,271.54105
57,2021-10-16 12:00:00,45.08947,band_4,1.7956292e-05,279.56296,32.631264,1.857862e-05,48.301834,0.0,274.99915,37.055782,36.684113,275.74158,271.91464
58,2021-10-16 12:00:00,53.45112,band_5,1.4859323e-05,278.46375,23.04355,1.5865931e-05,49.696358,5.035637e-07,274.62552,58.653038,44.5,275.3934,271.16586
59,2021-10-16 12:00:00,22.11466,band_6,1.3389636e-05,284.09372,15.454099,1.405367e-05,20.841957,0.001646492,271.69058,16.093866,33.5887,275.32388,269.94864
60,2021-11-16 00:00:00,36.11303,band_1,3.825425e-05,284.36548,17.077417,4.0993364e-05,47.947227,1.1421531e-08,274.23743,176.03078,42.674397,274.9165,271.776
61,2021-11-16 00:00:00,47.201706,band_2,3.8213388e-05,279.05014,11.635437,4.4496137e-05,42.85788,0.0021544474,272.9361,62.271374,44.47724,273.75504,269.76105
62,2021-11-16 00:00:00,66.95971,band_3,4.1605945e-05,273.26736,6.915817,4.6082558e-05,48.7408,0.0030564433,271.7465,58.960003,41.15119,273.0093,266.72427
63,2021-11-16 00:00:00,89.60971,band_4,3.9754148e-05,268.54623,3.446724,4.2097443e-05,57.05207,0.013477642,270.87115,72.64823,36.681072,272.61655,265.6563
64,2021-11-16 00:00:00,91.73117,band_5,3.2604876e-05,259.72934,1.5324328,3.3131408e-05,53.704575,0.038119584,268.16565,80.39927,44.5,272.60788,263.73096
65,2021-11-16 00:00:00,36.312397,band_6,1.9063089e-05,232.50984,0.56692475,1.9108511e-05,21.202187,0.05251693,261.74203,33.549274,34.056374,272.85587,260.11923
66,2021-12-16 12:00:00,50.428856,band_1,4.502882e-05,261.48917,5.2777123,4.5044682e-05,36.243786,0.012732581,269.3777,283.17358,42.674393,272.5867,266.53317
67,2021-12-16 12:00:00,43.31666,band_2,1.7607663e-05,242.58482,2.5068972,1.817178e-05,22.466312,0.06617612,264.36154,111.03001,44.47725,271.84512,264.32617
68,2021-12-16 12:00:00,28.706266,band_3,1.4101776e-05,239.23521,0.5449108,1.4486955e-05,11.756673,0.06304267,262.75546,106.20081,41.15119,271.7343,263.0162
69,2021-12-16 12:00:00,9.56611,band_4,1.4328373e-05,235.11201,0.0040432774,1.4328407e-05,5.7795625,0.097981535,261.02637,118.66795,36.681072,271.93832,261.22806
70,2021-12-16 12:00:00,1.2494617,band_5,1.0993635e-05,222.82732,0.0,1.0995683e-05,4.0971174,0.1251171,257.5731,99.45334,44.5,271.45734,257.75284
71,2021-12-16 12:00:00,3.636752,band_6,9.192915e-06,206.56699,0.0,9.198827e-06,3.3095298,0.1874684,253.83572,54.71078,34.056374,271.46283,254.16185
72,2022-01-16 12:00:00,9.150748,band_1,2.3002378e-05,264.27267,11.648392,2.300291e-05,7.8837795,0.030148044,265.55463,357.7411,42.674393,271.74594,266.002
73,2022-01-16 12:00:00,3.2197282,band_2,8.957212e-06,249.18797,7.379984,9.388768e-06,5.8662477,0.10790347,263.56635,134.56737,44.47725,271.68103,263.88608
74,2022-01-16 12:00:00,2.747106,band_3,1.1752576e-05,244.47455,3.6816077,1.1765409e-05,6.4038258,0.12211875,261.09445,128.77202,41.15119,271.65173,261.14365
75,2022-01-16 12:00:00,-0.4131557,band_4,1.3156673e-05,236.60796,1.5367146,1.3159964e-05,4.211273,0.19693902,258.1116,144.0512,36.681072,271.7303,258.19147
76,2022-01-16 12:00:00,-0.6914002,band_5,1.1553737e-05,218.04428,0.40913078,1.1576456e-05,2.875488,0.18309131,253.76149,123.95683,44.5,271.44434,253.83473
77,2022-01-16 12:00:00,10.915821,band_6,1.1795103e-05,193.92357,0.02602196,1.1795975e-05,4.026192,0.25143752,250.55734,68.89579,34.056374,271.4546,249.92186
78,2022-02-15 00:00:00,14.065891,band_1,3.4669167e-05,257.404,40.27489,3.4671255e-05,14.304209,0.07099217,264.55273,425.14423,42.674393,271.77536,264.61032
79,2022-02-15 00:00:00,9.356159,band_2,1.7075556e-05,250.38231,34.130276,1.8187235e-05,13.116365,0.15033937,263.4128,156.64793,44.47725,271.64972,263.58954
