,date,band,Unnamed: 0,surface_latent_heat_flux_sum,surface_solar_radiation_downwards_sum,avg_volumetric_water_content,average_lake_temperature,temperature_2m,snow_depth,surface_thermal_radiation_downwards_sum,total_precipitation_sum,skin_temperature,snowfall_sum,snow_depth_water_equivalent,surface_sensible_heat_flux_sum,snow_density,snow_cover,index,rsus,snow_albedo
4606,2084-12-16,band_5,1.0383283903937512,-0.2706869968604749,-1.1336221965975122,1.184364303528664,-0.8938055898033842,-0.8194630984031804,-0.5831735939509002,-0.7051725005233316,-0.9347455563479936,-0.628481169205012,-0.2608422743609754,-0.26125420137644145,1.044069092814324,-0.18558789141466547,0.0,1.0105033285140819,-0.8416233572493197,-3.004298831186633
4607,2084-12-16,band_6,1.0389297969332205,-0.5841873336574771,-1.1336221965975122,1.184364303528664,-0.8737393913693792,-1.1441716478903021,-1.7198380156961006,-1.0911392397026545,-1.0626937843952768,-1.0331530901969606,-0.4211722648771962,-0.9073136597834669,0.6839444237064948,-0.23909281499657198,0.0,1.0105033285140819,-0.8416233572493197,-3.004298831186633
4608,2085-01-16,band_1,1.0395312034726898,-0.3317331191780144,-1.01010058766227,-0.04893928903366954,-0.5210986832204824,-1.0082566767255903,-1.8105344511075694,-0.7510193704973319,0.45446129011459535,-0.8844912327584937,1.4743589609706846,2.1254058571420718,1.6148770532276162,7.530266138363081,0.0,1.0682463758577436,-0.7220524371767627,-0.1499508401355413
4609,2085-01-16,band_2,1.040132610012159,-0.8706891821586957,-1.05000727400382,0.7478900110061518,-0.8593548812610495,-1.1359573439928508,-1.6787736673100873,-1.049881798960622,-0.7468291470130751,-1.188769888334304,-0.02578248044678803,-0.12631397770843644,0.6132878504467234,0.8370717508266342,0.0,1.0682463758577436,-0.7739598349524566,-0.6181633531757605
4610,2085-01-16,band_3,1.0407340165516283,-1.1216104618200782,-1.0879825136581112,1.0528571698036466,-0.8726061443778467,-1.6220333217045435,-1.5082135387172413,-1.438906840340544,-0.9300242646071362,-1.6501510308681886,-0.2545538310904321,-0.28396670842428123,-0.5809313567259192,0.24070159170269367,0.0,1.0682463758577436,-0.7884447383491325,0.43142876959552184
4611,2085-01-16,band_4,1.0413354230910976,-1.1939544765954413,-1.1152886083938458,1.184364303528664,-0.8443033007645278,-1.8127060973962812,-1.0205168328617655,-1.8761913635309626,-1.2031545267634762,-1.8147624766789374,-0.5956125998921649,-0.15650316261576824,-0.8569021218351164,-0.03634229336621119,0.0,1.0682463758577436,-0.8139523748245456,1.4461252264962585
4612,2085-01-16,band_5,1.0419368296305669,-1.1796230723166625,-1.128984680849951,1.184364303528664,-0.9196410456487863,-1.959536779563239,-0.390564820996461,-2.0908198504792694,-1.3404970991454819,-1.956138707842301,-0.767129102927319,-0.10682687378111223,-0.8358288686627408,-0.17225785981211622,0.0,1.0682463758577436,-0.8339271869439697,1.8891332007492785
4613,2085-01-16,band_6,1.0425382361700362,-1.2354928467356379,-1.1333523288878478,1.184364303528664,-0.920017077605067,-2.1264063885768048,-1.4628649028364107,-2.2014026132650826,-1.474605635771687,-2.18107870486408,-0.934591919795742,-0.8756011014280017,-0.8222018309062825,-0.29952556302752914,0.0,1.0682463758577436,-0.8411881436769123,1.7509779021734309
4614,2085-02-15,band_1,1.0431396427095057,-0.8043798724506578,-0.6604927891339685,-0.04893928903366954,-0.8663578325564051,-0.26175063621578637,-1.1680410893260866,-0.05512235428784228,0.7088275835157624,-0.38328692026648026,1.7918191114044457,2.7711763975130452,-0.22848638919326963,1.5486870834225017,0.0,1.1259894232014054,-0.15126682389263926,1.2981705179993226
4615,2085-02-15,band_2,1.043741049248975,-0.8178247879602383,-0.7049007517451032,0.7478900110061518,-0.8772292769909926,-0.4438769118965724,-0.6200158235397203,-0.3403613966670295,0.253905941754344,-0.5546424348144541,0.892748296507801,0.11336008138177944,-0.5536513082451127,-0.06383425482255667,0.0,1.1259894232014054,-0.4062239857526766,-0.009712220012440478
4616,2085-02-15,band_3,1.0443424557884442,-0.9627391220902388,-0.7619942542796585,1.0528571698036466,-0.8791532213152425,-0.7725026478129704,-0.6288699173336526,-0.7638201106126165,-0.1354735311928716,-0.8704538696748327,0.5865903922674929,-0.027322269032724226,-1.0595589363705005,-0.10525435413270694,0.0,1.1259894232014054,-0.4554288258789431,0.059936017966951353
4617,2085-02-15,band_4,1.0449438623279135,-1.1227481847344007,-0.8319229324466563,1.184364303528664,-0.8867768828945913,-1.2647715014587304,-0.07594482146230959,-1.0644872227865254,-0.4257620977299681,-1.3492875425622364,0.3166657186563864,0.05366271418811174,-1.2373390316469446,-0.17650760328374038,0.0,1.1259894232014054,-0.4910959073431274,0.42158057073924454
4618,2085-02-15,band_5,1.0455452688673827,-1.2199443161480816,-0.9178670721070502,1.184364303528664,-0.9233137961258717,-1.6112325641961165,-0.05105515125432427,-1.3149803954909847,-0.6921886722775378,-1.698273929535188,0.029681396927332664,0.07040539538011586,-0.9886844291678305,-0.17590481703510466,0.0,1.1259894232014054,-0.5830494759277836,0.5295488253719831
4619,2085-02-15,band_6,1.046146675406852,-1.2898957518442695,-0.9957198379786601,1.184364303528664,-0.923169564690585,-2.026509854081982,-1.2562911446685463,-1.735654363915222,-0.8807294360186253,-2.124806563388118,-0.21155354967294343,-0.779596636598864,-1.0096557654964122,-0.2758073233835599,0.0,1.1259894232014054,-0.6453499459992036,1.1924605007114606
4620,2085-03-16,band_1,1.0467480819463213,-0.5974226453956312,-0.027211839292238173,-0.04893928903366954,-0.6029912317261797,-0.3430685429083877,-1.4316959822930315,-0.27573681463882904,0.6245345828151134,-0.40637835857637583,1.6854391203044883,3.4767726615926384,0.3283801748773736,3.040891766005329,0.0,1.1837324705450671,0.4303124041423038,0.3854945999442997
4621,2085-03-16,band_2,1.0473494884857906,-0.6513380407383367,-0.05860075511379374,0.7478900110061518,-0.8800443655404003,-0.4908081370222535,0.3693190998225942,-0.40708024608155613,-0.4622041953488616,-0.5643502131218127,0.319347032053037,0.29371934700205976,0.21590757423407855,-0.1782670280287306,0.0,1.1837324705450671,0.44238809266371387,0.5175933667978035
4622,2085-03-16,band_3,1.04795089502526,-0.8671957467276346,-0.09541327013754529,1.0528571698036466,-0.8816849981167671,-0.9081058806893492,0.26684021865939433,-0.6259291022475303,-0.35324149711694985,-0.9688582290890273,0.43151661741950925,0.34896925008910534,-0.45564073569318114,-0.15730602525644052,0.0,1.1837324705450671,0.6873649248401924,1.3382397624577091
4623,2085-03-16,band_4,1.0485523015647293,-0.9715191715619044,-0.19877781424037128,1.184364303528664,-0.8899139166120381,-1.443568996729464,1.3955820065467741,-1.1898806866816265,-0.13631400827809903,-1.484864794780149,0.7365215948244827,0.4709988584917079,-0.4902226151399325,-0.22722306312924,0.0,1.1837324705450671,0.665648023320717,1.749889905375038
4624,2085-03-16,band_5,1.0491537081041986,-1.119529257060152,-0.2849444450655361,1.184364303528664,-0.927408938663422,-1.8121430201129864,0.507326583205988,-1.5706551181047288,-0.64845766073658,-1.8544274926658284,0.0970461216601006,0.2933693080894092,-0.603081009049508,-0.19128176176042733,0.0,1.1837324705450671,0.5000169494882495,1.6571140134666595
4625,2085-03-16,band_6,1.0497551146436679,-1.2614584395092152,-0.33835135164485963,1.184364303528664,-0.9251501713644144,-2.216300994927044,-0.4160709370528139,-1.9860597174610146,-1.2022109323215737,-2.2392851173337487,-0.5947682785492441,-0.6391810003260547,-0.8738086030141725,-0.31116729062008175,0.0,1.1837324705450671,0.35047125930137674,1.4156776029496685
4626,2085-04-16,band_1,1.0503565211831372,-0.26439594067118505,1.0482306096150051,-0.14428353367970576,-0.24725469884134454,-0.05728441544766642,-1.288789427115502,-0.05226669479586925,0.5333830772140289,-0.16090326652527995,1.5538647849515925,3.9881878026668582,0.6513030766784093,2.6343408421647676,0.0,1.2414755178887291,1.59191247413309,0.2844945143478232
4627,2085-04-16,band_2,1.0509579277226064,-0.4599407005062779,1.0100701397022636,0.7478900110061518,-0.8812291237588075,0.005275613926928613,0.861247012814019,-0.24921389188594048,-0.5372647318391026,-0.16418424254681752,0.152672901104667,0.31475653412036836,0.40816926751172,-0.2155840509076113,0.0,1.2414755178887291,1.609639416381455,0.36742272782437446
4628,2085-04-16,band_3,1.0515593342620757,-0.48558821273865793,0.9602763456548192,1.0528571698036466,-0.8825169044309928,-0.09371687953174296,0.8100251355864563,-0.38707460264128607,-0.6270467541895521,-0.25513044408091423,0.10380377934037313,0.5556107600563939,0.38638953608514576,-0.17580577026457977,0.0,1.2414755178887291,2.2765674605069766,1.3867810949083144
4629,2085-04-16,band_4,1.0521607408015452,-0.5747382708564004,0.9518342183181864,1.184364303528664,-0.8906453760338381,-0.47759920123649235,2.548689909421791,-0.5309498280258776,-0.48637638694833113,-0.5834858851328856,0.2832107312426871,0.7161360026131045,0.2627714208718741,-0.2514851840343398,0.0,1.2414755178887291,2.7326743026849702,2.0494527180257434
4630,2085-04-16,band_5,1.0527621473410145,-0.6682380732136038,0.8627963738302138,1.184364303528664,-0.9278210284785207,-0.7617291674047723,0.9513917358820007,-0.5849676120702079,-0.5187043845491993,-0.8257902296878582,0.2509824925554772,0.4996827958518201,0.36364641497285505,-0.19517765633147477,0.0,1.2414755178887291,2.4513309271927026,1.8593072067238796
4631,2085-04-16,band_6,1.0533635538804837,-1.0870435566746144,0.7864182440979552,1.184364303528664,-0.9253072806064198,-1.152870120316815,0.1944616924286119,-1.1969428838737775,-0.9588970538478016,-1.24465191668121,-0.2957070217605983,-0.5829739587515756,-0.7571110933159249,-0.3285216085346967,0.0,1.2414755178887291,2.2342471576154295,1.7193973980276656
