,date,band,snow_albedo,snow_cover,snow_density,snow_depth,snowfall_sum,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,skin_temperature,temperature_2m,total_precipitation_sum,avg_volumetric_water_content,average_latitude
0,2021-01-16,band_1,-0.3775135660585677,0.0,0.7518507399470011,-0.6103714338643832,2.1560784323612667,-0.792519882291993,-1.2498786464675482,-0.9896927719658252,-0.7316062647035938,-0.7924570760325109,-0.6747328179173762,0.9755627910944678,-0.7595603422981342,60.26941735
1,2021-01-16,band_2,-1.3327254555040695,0.0,-0.1404180170578323,-0.6648996043615725,0.4020161041408657,-0.9052821780649464,-1.2883312751084497,-1.0418673966582044,-0.991538413419954,-1.0399610942416235,-0.959722932933555,-0.3555800456114127,-0.1454383346042164,62.28169165
2,2021-01-16,band_3,-0.8935773749125909,0.0,-0.1701145030131803,-0.5393520627616979,-0.1631869744811012,-1.044255721421711,-1.283743143518023,-1.0867799881054183,-1.20286522954645,-1.2746254646729775,-1.2131134973876017,-0.8227362705045955,0.0686068411288695,64.29396595
3,2021-01-16,band_4,0.5380028136866774,0.0,-0.1861601761523831,-0.46430643103272,-0.3153248290944312,-1.1280428147868968,-1.3130583370608044,-1.116310923448379,-1.3657407464347384,-1.496094079992218,-1.4278243443203666,-0.9740589687092088,0.1701314148989255,66.30624025
4,2021-01-16,band_5,1.1056259423767565,0.0,-0.0578689856253092,-0.6705149624754253,-0.4896081401312089,-1.08219372942419,-1.1367451690450716,-1.130839751258075,-1.4915018187668472,-1.565350361944961,-1.518194064540026,-1.1108374811105706,0.4092985450192795,68.31851455
5,2021-01-16,band_6,1.451649548194137,0.0,-0.2263027566520512,-0.469373333481396,-0.6323993073737562,-1.1010250541793516,-0.9684243479789308,-1.1349685828642668,-1.5917376121937865,-1.6567305186069858,-1.5926869887434514,-1.2262530267977387,1.4703019062124567,70.33078885
6,2021-02-15,band_1,0.1650409971765628,0.0,0.645654328071875,-0.2981446384460713,0.1019829931050288,-0.9481346492585124,-0.218315998063804,-0.5963259943600508,-0.9821475857300004,-0.9626179727170648,-0.8946131435096393,-0.6475252813802032,-0.7595598515646753,60.26941735
7,2021-02-15,band_2,-0.1850807025700081,0.0,-0.2035459729973943,-0.0864714537711615,-0.6378691301337274,-1.1436084985038677,-1.119019096736294,-0.6841648066164179,-1.3229361796992831,-1.2948218377788203,-1.2150222721286148,-1.2306848067700693,-0.1454383346042164,62.28169165
8,2021-02-15,band_3,0.1959176378969064,0.0,-0.2552906249802229,0.3891551642268561,-0.8373823837794147,-1.2166726832567387,-1.2243676773686798,-0.7708667624139914,-1.6237991119704371,-1.6234241199324864,-1.554353625335578,-1.3896579555789683,0.0686068411288695,64.29396595
9,2021-02-15,band_4,0.7276827050724902,0.0,-0.2682391406494535,0.5602625330982403,-0.8805965326354114,-1.265117438795637,-1.1903375343475238,-0.853503170036335,-1.8086753643399025,-1.9354664689555168,-1.8712150162404309,-1.4235662990647775,0.1701314148989255,66.30624025
10,2021-02-15,band_5,1.0179337310595855,0.0,-0.1352412881630855,-0.2251247090040336,-0.8280424791041158,-1.241298171807178,-0.9243122314789894,-0.9419030544250772,-1.957061332649976,-2.1254318322615404,-2.0973096235083237,-1.3822639717774097,0.4092985450192795,68.31851455
11,2021-02-15,band_6,1.5565623947666192,0.0,-0.2312378983190875,-0.2904517550459335,-0.8085469730417336,-1.223602171119592,-0.7127279439661275,-1.004532763465069,-2.1420441066753053,-2.385400549256145,-2.289606001339473,-1.365920329712491,1.4703019062124567,70.33078885
12,2021-03-16,band_1,0.2585202908487544,0.0,0.6578554678098764,-0.1506071531090298,1.103039512301697,-0.351755502445899,-0.9830366752019464,0.0500370810609079,-0.0857235941569809,-0.1036833139093057,-0.0108561790962438,0.143373229770766,-0.6983585189626028,60.26941735
13,2021-03-16,band_2,0.731716864055545,0.0,-0.2248942170279118,0.2409190476892541,-0.1336689497234172,-0.6570389481443534,-0.938355435165077,-0.0485095937053961,-0.3680736700942892,-0.383752311554449,-0.2614883487741819,-0.7167811943472745,-0.1454383346042164,62.28169165
14,2021-03-16,band_3,1.1279405663282025,0.0,-0.2271558379475989,0.3008260114544633,-0.4189774051712618,-0.775139442643508,-1.0285626155849292,-0.119129426874976,-0.6902687029313942,-0.5072480741115285,-0.3757277994393539,-1.00422763186247,0.0686068411288695,64.29396595
15,2021-03-16,band_4,1.4233515882272547,0.0,-0.2964278701099612,1.4996412619390642,-0.5371618398252397,-0.8558874259488051,-1.0648657044396883,-0.1501787773531319,-0.9528840692439592,-0.6296246421891892,-0.5170708946476049,-1.1254877138179131,0.1701314148989255,66.30624025
16,2021-03-16,band_5,1.3505032916828086,0.0,-0.1592368552239872,0.1178855303057917,-0.4159360977139124,-1.0415454684259409,-0.9526370542505478,-0.2642255958129937,-1.0261186839187868,-0.8343694019540426,-0.7380706520428704,-1.056690590297205,0.4092985450192795,68.31851455
17,2021-03-16,band_6,1.9766165377850635,0.0,-0.2217491503348606,-0.2528471022488739,-0.7597840384375575,-1.133508416814833,-0.701292275275492,-0.3801800168788916,-1.0944426719530806,-1.080737268191624,-1.0230808594247425,-1.327760626079686,1.4703019062124567,70.33078885
18,2021-04-16,band_1,0.4895886953089062,0.0,1.1172329448770333,-0.5414917862341215,0.5889787555921804,-0.2469534106788267,0.5743419172124333,0.9669410767451856,-0.0368514150564966,-0.0714141485023441,0.0207510257004411,-0.2541858969044692,0.9618693271548792,60.26941735
