,date,band,snow_albedo,snow_cover,snow_density,snow_depth,snowfall_sum,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,skin_temperature,total_precipitation_sum,avg_volumetric_water_content,average_latitude
0,2021-01-16,band_1,-0.429983232019829,0.0,0.5057296529529057,-0.5739891895306151,1.424503037169995,-0.8343177708921128,-1.0931442506845683,-0.9851458971972348,-0.7981851435543835,-0.9688459957266584,0.3652766589753494,0.2114805726346611,60.26941735
1,2021-01-16,band_2,-0.5665672049147147,0.0,-0.1594031612538037,-0.168578534736687,0.6981357212446688,-0.8988480492972899,-1.116068163615599,-1.0524956752710322,-1.0349271173319372,-1.2325481119205477,-0.0934371942489298,1.34091827747797,62.28169165
2,2021-01-16,band_3,0.7921199217336632,0.0,-0.2936595642210005,0.81724171676548,0.6357740551469316,-0.9963518019316996,-1.235007002739744,-1.0949721622601665,-1.027950531959497,-1.3479646494432005,-0.2039571474663724,1.34091827747797,64.29396595
3,2021-01-16,band_4,2.1347875267899328,0.0,-0.3139873249516169,1.0839219241122429,0.3409817525777033,-1.1114925365453494,-1.3630517077849331,-1.124027553774229,-1.1463434068902283,-1.53164929379286,-0.4906045742923379,1.34091827747797,66.30624025
4,2021-01-16,band_5,2.147478672983415,0.0,-0.2755807143178467,0.8230758422711785,0.3279269303840685,-1.15211077683896,-1.361540569328072,-1.13596337235708,-1.3345833037009394,-1.6369791696436813,-0.5086656608407971,1.34091827747797,68.31851455
5,2021-01-16,band_6,1.782283454997242,0.0,-0.3521886760622269,0.5574032214749189,0.4389356292955331,-1.1693837185551943,-0.9949225402806016,-1.1398292536003192,-1.5670438852720925,-1.7528465925951622,-0.4275204455749744,1.083022411222403,70.33078885
6,2021-02-15,band_1,0.5570199801888581,0.0,1.0088171628194529,-0.9590116321833088,0.146884285242446,-1.0220275859164396,-0.5592455559976413,-0.6864998562595912,-0.8507447162984719,-0.9809428971530744,-0.6887366758112169,0.3395792949717887,60.26941735
7,2021-02-15,band_2,-0.0531139145334678,0.0,-0.2170237452667468,0.9098743203051756,-0.0308616436308735,-1.0698737119426902,-0.8523261837611593,-0.7307780916054479,-1.0791505380976223,-1.2184075342920129,-0.8169152646779045,1.34091827747797,62.28169165
8,2021-02-15,band_3,0.7890490544233143,0.0,-0.2880506976403134,1.728744570861729,0.3799986892705518,-1.152137725274014,-1.1021300065197197,-0.816166174661036,-1.1246767533604531,-1.3809947934753384,-0.4970692527010652,1.34091827747797,64.29396595
9,2021-02-15,band_4,1.0055229685911806,0.0,-0.3379583917407451,3.1032118566032576,0.1635032165851409,-1.255063770817215,-1.316290629035174,-0.8747304504379034,-1.3255533463926783,-1.6216206947444802,-0.6751982381716698,1.34091827747797,66.30624025
10,2021-02-15,band_5,0.9714788872361736,0.0,-0.3036755969686431,2.1459730763999496,-0.1704529879344741,-1.360728131747897,-1.3040475383842889,-0.9405759982835128,-1.5356429810840937,-1.861562668677756,-0.9497502548779094,1.34091827747797,68.31851455
11,2021-02-15,band_6,1.2009256673007414,0.0,-0.3640784332983077,2.245734047794712,-0.3496850243296849,-1.372670011119122,-1.1275643087556328,-1.0096700494216324,-1.672754235893467,-2.1461463529675497,-1.097029910100664,1.083022411222403,70.33078885
12,2021-03-16,band_1,-0.1311811485732554,0.0,1.0045204642668624,-0.8116932622055077,1.346256862709741,-0.9138176407692766,0.0204883435433173,0.2411069128686554,-0.882763729671237,-0.9712615257543477,0.2973468065787706,0.4351711374399007,60.26941735
13,2021-03-16,band_2,-0.7139842461802444,0.0,-0.2475109499925296,1.7723558638690442,-0.0613728248860631,-0.9306521291031542,-0.6786071366947594,0.216339676477906,-1.2794995381185792,-1.1064086069972932,-0.8599001241415465,1.34091827747797,62.28169165
14,2021-03-16,band_3,0.2313748161308228,0.0,-0.2795213329261394,2.120663125473496,-0.3297069447157589,-1.065883333248368,-0.8166561100525102,0.0914978669902946,-1.5229146286868964,-1.3915110628366558,-1.0805820754019455,1.34091827747797,64.29396595
15,2021-03-16,band_4,0.9934128346491796,0.0,-0.3461207516448007,4.759727190213962,-0.5372475387176421,-1.13608058586407,-0.8250424828296755,-0.0291306005881285,-1.7912139149522457,-1.7000261245274466,-1.25035567888195,1.34091827747797,66.30624025
16,2021-03-16,band_5,1.133096033022062,0.0,-0.3274767825412722,3.852955411165685,-0.571722345543729,-1.2072717363350094,-1.0242218913080827,-0.1763606243909114,-1.7983179525689812,-1.8672073489563847,-1.2795499803701065,1.34091827747797,68.31851455
17,2021-03-16,band_6,1.4766850311045052,0.0,-0.3690590422639161,3.772626032260944,-0.599544433628879,-1.3445769568802963,-1.3758828331120585,-0.2947856950163981,-1.991172122224146,-2.124666981718819,-1.3024740451247163,1.083022411222403,70.33078885
18,2021-04-16,band_1,0.714224159582536,0.0,0.7764959449671284,-0.4083663085455716,0.6033442593934951,-0.4419089860527568,-0.1866111550968724,1.1458565179570286,-0.4506306253757729,-0.4735600042565374,-0.3135783003068263,0.4351711374399007,60.26941735
19,2021-04-16,band_2,-1.755763324318628,0.0,-0.2592222276688731,1.973931270953345,-0.0758158718683164,-0.3834973492305815,0.3308766791939363,1.080517281408102,-0.6825515299124941,-0.5173262876231548,-0.8307848009069679,1.34091827747797,62.28169165
20,2021-04-16,band_3,-0.3507768627213766,0.0,-0.2797301676262382,2.054999009704818,-0.3943316499273791,-0.5164634625196606,-0.0262777061038421,1.0501085412276876,-0.7566534959481811,-0.5033741699716092,-1.13284087837471,1.34091827747797,64.29396595
