,date,band,Unnamed: 0,snow_depth,skin_temperature,temperature_2m,snowfall_sum,surface_thermal_radiation_downwards_sum,avg_volumetric_water_content,average_lake_temperature,total_precipitation_sum,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,snow_depth_water_equivalent,surface_solar_radiation_downwards_sum,snow_density,snow_cover,index,rsus,snow_albedo
0,2021-01-16,band_1,-1.7317501304018572,-1.019180462588779,-1.0259653707694725,-0.9302722221028574,1.7179742671537581,-0.8499811945666721,0.886112492333695,-0.8319490218744314,0.6617417170849249,-0.9213996452154133,-0.05478055904472665,2.1424437451453113,-1.0038417203351793,1.0327688769147896,0.0,-1.7034198966380236,-0.7197770478089023,-0.19710738970722774
1,2021-01-16,band_2,-1.731148723862388,-0.2854938924816618,-1.1921845880025523,-1.1141861961173027,0.1789815172987311,-1.0631521046293029,0.7687671636935917,-0.8334223573257583,-0.4447836057834359,-0.9749632649914292,0.027886260362037393,0.28712851583193255,-1.0551324408155667,-0.08074508249133286,0.0,-1.7034198966380236,-0.7788778915091026,-0.5523361491113523
2,2021-01-16,band_3,-1.7305473173229187,-0.38510387880433455,-1.4701370565795422,-1.394287404081133,-0.17633018406160772,-1.3577448425734993,0.6702110015998778,-0.8349063691209387,-0.7768000786037461,-1.0400489763070964,-0.9452957961584814,0.1273206170072566,-1.0964818604392297,-0.10100090584990246,0.0,-1.7034198966380236,-0.7935257875490428,0.7069722450786435
3,2021-01-16,band_4,-1.7299459107834492,-0.09350094907450607,-1.729278765707952,-1.6621141113814197,-0.3691362228289306,-1.5459661788117312,1.0359567599388468,-0.8414136006976463,-0.9528383465766902,-1.082806708698613,-1.1589069167637127,0.0007888415697996701,-1.1231934253310558,-0.17735672339007622,0.0,-1.7034198966380236,-0.8248088220740134,1.0442043370231895
4,2021-01-16,band_5,-1.72934450424398,-0.5321398440340029,-1.8572896948683775,-1.79759386661385,-0.44516070437852573,-1.5153472558075152,1.1604112914579015,-0.8792398869589598,-1.0113927388623452,-1.1179724824248203,-1.12565208452437,-0.13149812116504322,-1.137559440974576,-0.1430099285433653,0.0,-1.7034198966380236,-0.8443987565014989,1.0769280370678518
5,2021-01-16,band_6,-1.7287430977045106,-0.07665702907767748,-1.8456630388778765,-1.7594730522211488,-0.6192302545043058,-1.5999148012157285,-2.001197440595437,-0.8730636220416078,-1.1414894437485568,-1.1245148217439365,-1.1211440874499536,-0.49703536197716713,-1.1421880445889714,-0.28668759572966884,0.0,-1.7034198966380236,-0.8507333325396497,1.5569033235020133
6,2021-02-15,band_1,-1.7281416911650413,-0.7067747681422306,-0.824894041375673,-0.7272112005938262,3.4202887171744036,-0.5768147084854773,0.886112492333695,-0.8034058165908821,1.980625258590178,-0.8110938380272706,0.5809331446452257,3.2093377829588774,-0.679311656084854,1.0035048475345298,0.0,-1.6456768492943616,-0.27903680611698073,0.6533380856436412
7,2021-02-15,band_2,-1.727540284625572,0.47181119910417424,-0.8392577554191202,-0.7450563515435719,0.7137252752004143,-0.7000044046349768,0.7687671636935917,-0.8381786685110363,-0.11262295997740442,-0.6418286271667908,0.6996453421546481,0.5787101108435144,-0.7183346030380657,-0.13542312099363576,0.0,-1.6456768492943616,-0.24534350235053545,1.22454424472875
8,2021-02-15,band_3,-1.7269388780861028,0.3496175103041356,-1.034606063559074,-0.9323185834324812,0.6222966915406537,-0.9053020403614164,0.6702110015998778,-0.839579938641374,-0.18628016463291058,-0.9291449125899793,-0.8496029485680368,0.4418028521717365,-0.7873202574728937,-0.14476888322797635,0.0,-1.6456768492943616,-0.3484644564738072,1.1863656733718695
9,2021-02-15,band_4,-1.7263374715466335,0.9906472425891092,-1.525792067947009,-1.4359444262015961,0.8296077465710814,-1.2633712037106533,1.0359567599388468,-0.8443389189126079,-0.025847646303986713,-1.1725665102388751,-1.217602197865615,0.27322780097686233,-0.8626510739564027,-0.22449826811953627,0.0,-1.6456768492943616,-0.4341085544494696,1.4082075305919501
10,2021-02-15,band_5,-1.725736065007164,0.11291101563024415,-2.0261102853986603,-1.9374193891860776,0.30509300473821876,-1.6549820793990013,1.1604112914579015,-0.8822052414633497,-0.4318029260616139,-1.214578010747727,-1.2787572858008636,0.06017778181065537,-0.9449999691171275,-0.18883088348100024,0.0,-1.6456768492943616,-0.559031360612359,1.3754755630572457
11,2021-02-15,band_6,-1.7251346584676948,0.604239920052537,-2.408362996713528,-2.314874953846872,-0.34078539457954876,-1.9611237655140115,-2.001197440595437,-0.875145509092408,-0.9284417360863993,-1.219696703430489,-1.1861751048279925,-0.3748248567226776,-1.0152987250919203,-0.2985161163505506,0.0,-1.6456768492943616,-0.6621460329126048,1.3960628895555685
12,2021-03-16,band_1,-1.7245332519282255,0.3247345948212048,-0.9527459228422778,-0.8825137059641776,0.42071317012881926,-1.0416170299997116,0.886112492333695,-0.8269791838121572,-0.3051304538121518,-0.785485272796121,-0.6860241096661066,3.6408130370582574,0.1361174531823064,0.4215117550410648,0.0,-1.5879338019506999,0.26647179778678154,-0.4150461151940505
13,2021-03-16,band_2,-1.7239318453887562,1.8137711004560895,-1.149064691486889,-1.0574381760194078,0.5764626652852567,-1.2208675667567663,0.7687671636935917,-0.8411600375312066,-0.18930552577445092,-0.8904283816059793,-0.5427271858321205,0.8592424817886264,0.02654541686233717,-0.20196326726788683,0.0,-1.5879338019506999,0.5166530165077245,0.460406240176004
